company_name,job_link,label,city,job_name,job_description,job_requirements,additional_info,company_info,job_type
Dsquares,https://eg.indeed.com/cmp/Dsquares?campaignid=mobvjcmp&from=mobviewjob&tk=1hip5efe6kjbr801&fromjk=11de4a49c29f636c,data science,Cairo,Data Scientist,"Develop and Maintain Machine Learning Models: Design and develop advanced AI models using statistical and machine learning techniques. Leverage large datasets to analyze trends, customer behavior, and other relevant factors to develop accurate and effective models.","Building a Full AI Product: AI products are not only about models, you will need to develop a working solution that serves these models in real time or in batches. These models will also require monitoring and re-training.Documentation and Reporting: Document the development, implementation, and maintenance of your work, including methodologies, assumptions, and key insights. Prepare clear and concise reports and presentations to communicate findings, recommendations, and the impact on business performance for internal reporting and client side as well.Lead and Guide Junior Data Scientists: Guide junior data scientists in growing in their roles, share knowledge & best practices, and help them gain the crucial skills of the modern day data scientist.","Strong proficiency in statistical analysis and machine learning techniquesExpertise in programming languages such as Python or RExperience with data visualization tools, such as Tableau or Power BIAbility to clean and preprocess large datasetsKnowledge of SQL and database managementExcellent problem-solving and analytical skillsStrong communication and presentation abilitiesAbility to work independently and in a team environmentAttention to detail and ability to deliver high-quality work","Dsquares specializes in offering loyalty programs that bring our customers closer to their consumers. Through our different range of solutions, we deliver an end-to-end experience, managing and executing all technical, operational, and commercial aspects of our customers’ loyalty programs. From full loyalty programs, couponing solutions to interactive directory services, coupled with an extensive network of merchants, Dsquares serves some of the most loved brands in the region.Our People is our Brand - Developing seamless loyalty solutions is only possible when we’ve got a great team on our side. Our culture is open and empowering. If you are passionate and driven, you will fit right in.About The Role:as aData Scientistyou will be responsible for developing and implementing various models and AI products that assist directly in solving business problems as well as support business growth.In addition to playing a crucial role in driving revenue & delivering personalized experience to each one of our end customersKey Duties & Responsibilities:Develop and Maintain Machine Learning Models: Des",Full-time
Dsquares,https://eg.indeed.com/cmp/Dsquares?campaignid=mobvjcmp&from=mobviewjob&tk=1hip5eji72iea000&fromjk=05b4c288eeceaf5c,data science,Cairo,Data Analyst,"Analyze large datasets to identify trends, patterns, and correlationsDevelop and maintain data models, databases, and data systemsCreate and implement data collection and analysis methodologiesCollaborate with cross-functional teams to define data requirementsPerform exploratory data analysis to identify trends, patterns, and anomalies.Present findings and recommendations to stakeholders in a clear and concise mannerCreate clear and compelling reports, dashboards, and visualizations to communicate findings.Present data-driven insights to various stakeholders, including non-technical audiences.Collaborate with business units to understand reporting requirements and deliver actionable reports.","Experience with data visualization tools (e.g., Looker Studio, Power BI).Strong knowledge of statistical concepts and methodologies.Excellent problem-solving and critical-thinking skills.Effective communication skills with the ability to present complex findings to diverse audiences.Strong attention to detail and ability to work independently or as part of a team.","Bachelor's or Master's degree in a quantitative field (e.g., Statistics, Mathematics, Computer Science, Economics).1-3 years of experience as a data analyst, with a proven track record of delivering impactful insights.","Dsquares specializes in offering loyalty programs that bring our customers closer to their consumers. Through our different range of solutions, we deliver an end-to-end experience, managing and executing all technical, operational, and commercial aspects of our customers’ loyalty programs. From full loyalty programs, couponing solutions to interactive directory services, coupled with an extensive network of merchants, Dsquares serves some of the most loved brands in the region.Our People is our Brand - Developing seamless loyalty solutions is only possible when we’ve got a great team on our side. Our culture is open and empowering. If you are passionate and driven, you will fit right in.About The Role:We are seeking a talented Data Analyst to join our Product department at Dsquares. As a Data Analyst, you will play a crucial role in analyzing and interpreting complex data sets to provide valuable insights that drive business decisions.Key Duties & Responsibilities:Analyze large datasets to identify trends, patterns, and correlationsDevelop and maintain data models, databases, and data syst",Full-time
Snippet Canada,https://eg.indeed.com/cmp/Provisions-Fzco?campaignid=mobvjcmp&from=mobviewjob&tk=1hip5enhrjkl1800&fromjk=bf2e37f7047ec566,data science,Cairo,Remote Data Analyst,"Bachelor's Degree:In a related field such as Data Science, Statistics, or Mathematics. Advanced degrees are a plus.Proven Data Analysis Experience:A track record of effectively analyzing and visualizing data to derive actionable insights.Data Visualization Skills:Proficiency in data visualization tools such as Tableau, Power BI, or Python libraries like Matplotlib and Seaborn.Strong Analytical Skills:Ability to think critically, solve complex problems, and draw meaningful conclusions from data.SQL Proficiency is a plus:Experience with SQL for data extraction and transformation.Programming Skills:Knowledge of programming languages like Python or R is a plus.Team Player:Strong communication and collaboration skills to work effectively with cross-functional teams.Remote Work Experience:Proven ability to work independently and manage projects while working remotely.Problem-Solving Mindset:A strong desire to solve complex problems using data and analytics.","How old are you?What is your expected salary?Where do you live?Kindly, write your WhatsApp numberWhat is your ideal starting date?",,"About Us:At Provisions FZCO, we are more than just a media production company; we are the architects of visual storytelling and the creators of immersive digital experiences. Our passion lies in transforming ideas into captivating narratives, bringing visions to life, and producing content that resonates with audiences worldwide.Responsibilities:As a Remote Data Analyst at Provisions FZCO UAE, you will:Data Entry:Go through our system and extract the data into sheetsData Analysis and Visualization:Analyze complex data sets, extract valuable insights, and present findings through compelling data visualizations.Analytics:Utilize your analytical skills to draw actionable conclusions from our data, driving informed decision-making within the organization.Data Cleaning and Transformation:Work with raw data to prepare, clean, and structure it for analysis, ensuring data accuracy and consistency.Old Data Utilization:Tap into our historical data archives to answer critical business questions and support strategic initiatives.Reporting:Create and maintain reports and dashboards to monitor key performance indicators and share insights with the team.Collaboration:Collaborate with cross-functional teams to understand their data requirements and provide data-driven solutions.Continuous Learning:Stay updated with the latest industry trends and tools, applying them to improve our data analysis processes.Qualifications:To be a powerful candidate for this role, you should possess:Bachelor's Degree:In a related field such as Data Science, Statistics, or Mathematics. Advanced degrees are a plus.Proven Data Analysis Experience:A track record of effectively analyzing and visualizing data to derive actionable insights.Data Visualization Skills:Proficiency in data visualization tools ",Full-time
DOT Technology,https://eg.indeed.com/cmp/Dot-Technology?campaignid=mobvjcmp&from=mobviewjob&tk=1hip5erpkjkkq800&fromjk=89bfe3a68f9f7c1c,data science,Cairo,Data Entry,"Coordinating with all departments within the company (Purchasing, Finance, Sales, logistics,…etc)",Expert in Internet.,"Good presentation and analytical skillsCreative, Self-motivated, professional, detail-orientedCo-operate with other departments to meet the whole company objectives and strategy.Achieve assigned Tasks and objectives and meets target dates.Ability to work in a fast-paced leading edge environmentAbility to execute in a time-constrained environment with maximum precisionQuickly learn new technologies.Excellent written and verbal communications skillsAbility to work independently or under supervision.Customer friendly-attitude.Knowledge of process re-engineeringCustomer Orientation and Technical ExpertiseResult Orientation and Quality FocusLeadership and Decision MakingActive Listening","• Complete daily assigned tasks.Coordinating with all departments within the company (Purchasing, Finance, Sales, logistics,…etc)Tools and Technologies:• Microsoft Office (Word, Excel, Power Point and outlook).Expert in Internet.General Qualifications:• Good organizational, Planning, Time Management and Leadership skills.Good presentation and analytical skillsCreative, Self-motivated, professional, detail-orientedCo-operate with other departments to meet the whole company objectives and strategy.Achieve assigned Tasks and objectives and meets target dates.Ability to work in a fast-paced leading edge environmentAbility to execute in a time-constrained environment with maximum precisionQuickly learn new technologies.Excellent written and verbal communications skillsAbility to work independently or under supervision.Customer friendly-attitude.Knowledge of process re-engineeringCustomer Orientation and Technical ExpertiseResult Orientation and Quality FocusLeadership and Decision MakingActive ListeningRequired Education and Lan",Full-time
Beinex,https://eg.indeed.com/cmp/Beinex?campaignid=mobvjcmp&from=mobviewjob&tk=1hip5f2ug2eh5001&fromjk=6810bae24f38472c,data science,مصر,Trainee in Business Intelligence and Data Science,"Developing and implementing data analyses, data collection systems and other strategies that optimize statistical efficiency and qualityInterpreting data, analysing results using statistical techniquesIdentify, analyse, and interpret trends or patterns in complex data setsFilter and “clean” data by reviewing computer reports, printouts, and performance indicators to locate and correct code problemsWork with the team to prioritize business and information needsAcquiring data from primary or secondary data sources and maintaining databases","Developing and implementing data analyses, data collection systems and other strategies that optimize statistical efficiency and qualityInterpreting data, analysing results using statistical techniquesIdentify, analyse, and interpret trends or patterns in complex data setsFilter and “clean” data by reviewing computer reports, printouts, and performance indicators to locate and correct code problemsWork with the team to prioritize business and information needsAcquiring data from primary or secondary data sources and maintaining databases","Analytical Skills: Business analysts work with large amounts of data: facts, figures, and number crunching. You will need to see through the data and analyse it to find conclusionsCommunication Skills: Business analysts are often called to present their findings, or translate the data into an understandable document. You will need to write and speak clearly, easily communicating complex ideasCritical Thinking: Business analysts must look at the numbers, trends, and data and come to new conclusions based on the findingsAttention to Detail: Data is precise, analysts have to make sure they are vigilant in their analysis to come to correct conclusionsMath Skills: Data analysts need math skills to estimate numerical data.Adeptat queries, report writing and presenting findingsConscious listening and storytelling skillsAbility to collaborate effectively and work as part of a teamKnowledge of statistics and experience using statistical packages for analysing datasets (R, SPSS, SAS & Python) and visualization tools (Tableau, Power BI) is an added advantage.",,Full-time
Nestle Operational Services Worldwide SA,https://eg.indeed.com/cmp/Nestl%C3%A9-1?campaignid=mobvjcmp&from=mobviewjob&tk=1hip5fah1isvj800&fromjk=85a48b03375db2c9,data science,Cairo,Data Analytics and Reporting Specialist,"Collaborate with E2E Leads, Process Optimizers, Automation Partners, and Business leaders to streamline and automate processes.Utilize expertise in data analytics to provide key figures and insights for strategic decision-making.Play a crucial role in building team capabilities by preparing members to use self-service reporting solutions in data analytics.Conduct training sessions and share best practices to enhance the team's skills.Contribute to KPI analytics, identifying opportunities for improvement in decision-making and business performance.Engage in dashboarding and analytics, employing analytical thinking to address root causes and ensure efficient delivery within the team.Demonstrate proficiency in designing Power BI dashboards and compiling technical documentation.Apply experience in complex projects using PowerBI.Showcase expertise in SQL, Python programming, and database administration.Utilize familiarity with tools like Databricks and Azure platform components.Communicate effectively with team members and leaders throughout the day.Apply an understanding of project and product management principles for success in the role.","Preferred 0 to 3 years of experience.Bachelor’s degree is required, preferably in fields such as Engineering, Computer Science, Technology, or Business Information Systems.Collaboration & Communications Skills: Ability to work effectively with E2E Leads, Process Optimizers, Automation Partners, and Business leaders.Data Analytics Expertise: key knowledge and experience in data analytics to contribute key figures and insights for strategic decision making, addressing root causes through analytical thinking, and ensuring efficient delivery within the team.Tools Familiarity: Familiarity with tools like Power BI, App, and Automate along to Azure platform components.Training and Communication: Ability to conduct training sessions, share best practices, and communicate effectively with team members and leaders.KPI Analytics: Experience in KPI analytics, identifying opportunities for improvement in decision making and business performance.Documentation Skills: Ability to compile technical documentation.Project and Product Management Understanding: Understanding of project and product management principles.",,"Data Analytics and Reporting SpecialistPOSITION SNAPSHOTLocation: Cairo, EgyptCompany: NestléFull-timePOSITION SUMMARYAs a professional in this role, you will be instrumental in developing and delivering business-impacting reports and analytics solutions. This involves collaborating with E2E Leads, Process Optimizers, Automation Partners, and Market and Business leaders to streamline and automate processes. Your expertise in data analytics will contribute to strategic decision-making by providing key figures and insights from translated data. Additionally, you will play a crucial role in building the capabilities of team members, preparing them to leverage self-service reporting solutions in data analytics.A DAY IN THE LIFE …Collaborate wi",Full-time
Raisa Energy,https://eg.indeed.com/cmp/Raisa-Energy?campaignid=mobvjcmp&from=mobviewjob&tk=1hip5fi8i2eh5000&fromjk=55ee2468b0cf4b83,data science,Cairo,Data Scientist (DS2/Senior),"Research and prototype algorithms and design machine learning solutions that can provide value to our business.Train models and tune their hyper-parameters.Perform statistical analysis and fine-tuning using test results.Define the preprocessing or feature engineering for datasets.Get useful insights from data.Deploy models to production.Work in an Agile environment that focuses on collaboration and teamwork.Drive and maintain a culture of quality, innovation, and experimentation.Design and build useful tools and frameworks that can serve different teams.Communicate with different teams to understand their data science requirements.","BS or MS degree in Computer Science, Computer Engineering, or relevant field2-4 years of experience for DS2 level4+ years of experience in data science for Senior levelVery good analytical and problem-solving abilitiesStrong communication and teamwork skillsExperience with both classical and deep learning modeling techniquesVery good Python and SQL skillsExperience with large-scale data processing/analysisExperience with at least 2 of the following: SKLearn, Keras, PyTorch, and TensorFlowData visualization experience using Matplotlib, Seaborn and PlotlyOutstanding mentorship abilities (for senior level)Ability to take initiatives and lead the wayFocus on the details and passion for data quality and code efficiency","Experience with Power BI, Tableau, Spotfire, or StreamlitExperience with parallel and distributed computingContributions to open-source projectsExperience with MLops using Azure ML or AWS Sage Maker","We are looking for aData Scientistto join our team in Cairo.SummaryRaisa is an energy fintech company that uses proprietary technologies (in-house tech, machine learning microservices, securitization) to manage large investments in the United States. With over $2 billion of private funding, Raisa has built a diverse portfolio of oil and gas assets. We are passionate about innovation that leverages our team’s capabilities via proprietary technology and creates extraordinary results for all stakeholders.We are looking for a Data Scientist (DS2/Senior) with a passion for both theory and technology to join our growing Data Science team in Cairo. This group designs, implements, and tests models that are subsequently productized and tightly integrated in our systems. You will be working closely with different teams including product management, subject matter experts, data engineering and software development teams. You will provide technical mentoring for other team members, and you will guide and review technical design decisions across projects as well as performing code review.ResponsibilitiesResearch and prototyp",Full-time
Giza Systems EG,https://eg.indeed.com/cmp/Giza-Systems-Eg?campaignid=mobvjcmp&from=mobviewjob&tk=1hip5fp8bi82p800&fromjk=7421b091f6197ac2,data science,Cairo,Big Data Engineer,"Create and maintain optimal big data pipeline architectureAssemble large, complex data sets that meet business requirements.Build large-scale data processing systems with the latest (NoSQL) database technologies.Identify, design, and implement internal process improvements: automating manual processes, optimizing data delivery, re-designing infrastructure for greater scalability, etc.Build the infrastructure required for optimal extraction, transformation, and loading of data from a wide variety of data sourcesBuild analytics tools that utilize the data pipeline to provide actionable insights into customer acquisition, operational efficiency, and other key business performance metrics.Identify ways to improve data reliability, efficiency, and qualityEnsure data availability and accessibility by the right partiesGuarantee data pipelines adhere to data governance practices",Good Communication SkillsGood English,"MS / BS degree in Computer Science, Engineering or related field.Strong analytic skills related to working with unstructured datasetsExperience with big data tools: Hadoop, Spark, Kafka, Hive MongoDB or Cassandra etc.Experience with relational SQL and NoSQL databasesExperience with object-oriented/object function scripting languages: Python, Java, Scala, etc.Experience building and optimizing Bigdata data pipelinesStrong analytic skills related to working with unstructured datasets","Job DescriptionJob Overview: Builds what the big data solutions architect has designed. Big data engineers develop, maintain, test and evaluate big data solutions within organizations.ResponsibilitiesCreate and maintain optimal big data pipeline architectureAssemble large, complex data sets that meet business requirements.Build large-scale data processing systems with the latest (NoSQL) database technologies.Identify, design, and implement internal process improvements: automating manual processes, optimizing data delivery",Full-time
NAOS Solutions,https://eg.indeed.com/cmp/Naos-Solutions?campaignid=mobvjcmp&from=mobviewjob&tk=1hip5fsttisvj800&fromjk=60365841d2d09a36,data science,Cairo,Data Analyst,"Design, develop, and maintain business intelligence solutions.",Craft and execute queries upon request for data.,Present information through reports and visualization based on requirements gathered from stakeholders.,"NAOS Talentsis seeking a highly skilled and detail-orientedData Analyst. As a Data Analyst, you will play a crucial role in analyzing and interpreting complex data sets to provide valuable insights and support data-driven decision-making.If you are passionate about data, you are self-directed, and have business acumen and problem-solving aptitude, we’d like to meet you. We are looking for a Business Intelligence (BI)/Data Analyst to create and manage PowerBI and analytics solutions that turn data into knowledge.Responsibilities:Design, devel",Full-time
Mastercard,https://eg.indeed.com/cmp/Mastercard?campaignid=mobvjcmp&from=mobviewjob&tk=1hip5g13mkjbr801&fromjk=71f43f32a4b4a3ce,data science,Cairo,Associate Consultant Intern,"Work on small teams to solve our clients' most challenging strategic problems.You will collaborate with exceptional colleagues to help some of the world's biggest brands answer their most challenging strategic questions.Work with technology and data and gain broad exposure to a range of industries, including financial services, retail, restaurants, hospitality and more.Begin to build relationships with clients to understand their business needs, seek strategic solutions and guide impactful decisions.Grow by receiving hands-on mentorship from an experienced management team.Have an opportunity for meaningful contributions.Collaborate with colleagues across different areas of the organization and gain exposure to business development, account management, and product management.",Where should a retailer open new stores to maximize profitability and minimize the cannibalization of nearby omnichannel sales?What bonus should be provided to someone opening a credit card account to entice them to use the card regularly?,"How can a global financial services institution be successful at entering a hyper competitive new market?How can a client improve its operating model to better achieve operational, financial and strategic goals?","Our PurposeWe work to connect and power an inclusive, digital economy that benefits everyone, everywhere by making transactions safe, simple, smart and accessible. Using secure data and networks, partnerships and passion, our innovations and solutions help individuals, financial institutions, governments and businesses realize their greatest potential. Our decency quotient, or DQ, drives our culture and everything we do inside and outside of our company. We cultivate aculture of inclusionfor all employees that respects their individual strengths, views, and experiences. We believe that our differences enable us to be a better team – one that makes better decisions, drives innovation and delivers better business results.Title and SummaryAssociate Consultant Intern, Summer 2024 - Cairo, Egypt.Associate Consultant Intern 2024 Summer Internship Program, Cairo, Egypt.Apply for our Summer Internship program and spend your summer enhancing your skills, sharing your ideas and making a difference in the real world.Who is Mastercard?Mastercard is a technology company in the global payments business. We connect consumers, financial institutions, merchants, governments and businesses worldwide and enable them to use secure and convenient electronic forms of payment. Mastercard is a driving force at the heart of commerce, enabling global transactions and bringing insight into the payments process to make commerce faster, more secure, and more valuable to everyone involved. As a critical link among financial institutions and millions of businesses, cardholders and merchants worldwide, Mastercard provides services in more than 210 countries and territories. You find more information on www.mastercardworldwide.com.Mastercard Summer Internship ProgramThe Mastercard Summer Internship Program is a comprehensive 10-week program aimed at early career talent, where students will gain hands on real work-life skills while having fun and contributing to a global company. As an intern, you will be challenged with completing projects that will enhance your skills as well as contribute to the department’s goals and objectives.Successful interns also have the opportunity to secure a place of our Launch program upon graduating, which you can find out more about here.Program componentso Challenging and impactful projectso Networking, mentorship, and access to senior leaderso Volunteer and team building experienceso Participation in a global innovation challenge that could have material impact on Mastercard’s future.What you’ll do:The Data & Services team is a key differentiator for Mastercard, providing cutting-edge services that help our clients grow. Focused on thinking big and scaling fast around the globe, this agile team is responsible for end-to-end solutions for a diverse global client base. We combine traditional management consulting with our rich data assets and in-house technology to provide our clients with powerful strategic insights and recommendations.Make an Impact as an Associate Consultant InternAs an Associate Consultant Intern, you will:Work on small teams to solve our clients' most challenging strategic problems.You will collaborate with exceptional colleagues to help some of the world's biggest brands answer their most challenging strategic questions.Work with technology and data and gain broad exposure to a range of industries, including financial services, retail, restaurants, hospitality and more.Begin to build relationships with clients to understand their business needs, seek strategic solutions and guide impactful decisions.Grow by receiving hands-on mentorship from an experienced management team.Have an opportunity for meaningful contributions.Collaborate with colleagues across different areas of the organization and gain exposure to business development, account management, and product management.We are looking for passionate and talented professionals, who share our vision for helping our clients with their most urgent business need. We are recruiting for 4 career tracks that make up our team:1- Business Experimentation:BE combines key elements of the other tracks, using advanced analytical techniques to inform executive-level strategic decisions with Fortune 1000 clients. Consultants work directly with senior-level client partners to advise on business decisions by measuring in-market experiments using an industry-leading data science SaaS platform, Test & Learn®. Consultants work with clients across a range of industries to identify their key priorities, then design and run business experiments to establish which ideas work, where, when, and how to deploy them. This analytical partnership leads to a strong understanding of the full range of business challenges, from new product launches, marketing, loyalty, and pricing, to operations and strategy.Sampling of questions we help our clients answer:Where should a retailer open new stores to maximize profitability and minimize the cannibalization of nearby omnichannel sales?What bonus should be provided to someone opening a credit card account to entice them to use the card regularly?2- Strategy & Transformation:Lead clients through sound decision making as they tackle strategic, tactical, operational, and transformational challenges, spanning across diverse topics including product, marketing, loyalty, innovation, and more. Apply a broad set of problem-solving techniques to improve overall performance and operations.Sampling of questions we help our clients answer:How can a global financial services institution be successful at entering a hyper competitive new market?How can a client improve its operating model to better achieve operational, financial and strategic goals?3- Performance Analytics:Translate data into insights leveraging Mastercard and client data. Get hands-on to design, implement & scale analytical solutions for clients across industries. Apply qualitative and quantitative analytical techniques using our enterprise applications (e.g., Hadoop, Spark, Kafka, NiFi, Python, Impala, and more) to synthesize analyses into clear recommendations and impactful narratives.Sampling of questions we help our clients answer:How does a financial institution's fraud/authorization metrics fare against competitors, and what are strategies that can help it be best-in-class?How is a technology client’s market share changing over time, and are there any segments where the client is relatively under penetrated?4- MarketingDevelop strategies and lead implementat",Full-time
