job_link,label,job_title,job_type,post_time,company_name,location,job_description,job_requirements
https://www.bayt.com/en/egypt/jobs/backend-lead-engineer-4895428/,web development,Backend Lead Engineer,EASY APPLY,2024/02/25,KLD,"Smart Village,Cairo,Egypt","Follow efficient clean coding practices to ensure ease in the readability of the written application or software code.Troubleshoot and debug applications.Evaluating all the necessary steps related to software development to ensure the proper delivery of the desired output.Work with developers, designers and system administrators to identify new featuresAssist and support in the maintenance of Web Applications.Develop a straightforward design plan that includes all necessary parameters for initiating the project effectively.",
https://www.bayt.com/en/egypt/jobs/data-integration-consultant-4706593/,web development,Data Integration Consultant,EASY APPLY,2024/02/24,Flint Consulting Ltd,"Cairo,Egypt","Job Description:As a Data Integration Consultant, your role will be to design, implement, and optimize data integration solutions for clients. You will work closely with stakeholders, data architects, and developers to understand data integration requirements, define integration strategies, and ensure seamless data flow between systems. Your responsibilities will include data mapping, data transformation, ETL development, and troubleshooting data integration issues.Responsibilities:Collaborate with clients to understand data integration requirements and business objectives.Design and develop data integration strategies and solutions to ensure seamless data flow between systems.Perform data profiling and data mapping to understand source system data structures and integration points.Develop and implement data transformation rules and scripts to ensure data quality and consistency.Design and optimize Extract, Transform, Load (ETL) processes to integrate data from various sources.Implement and configure data integration tools and platforms (e.g., Informatica, Talend, SSIS).Collaborate with data architects and database administrators to ensure optimal data modeling and database design for integration purposes.Monitor and troubleshoot data integration processes, identifying and resolving data quality issues, performance bottlenecks, and errors.Develop and maintain documentation for data integration processes, including data mappings, workflows, and integration specifications.Collaborate with cross-functional teams, including developers and business analysts, to ensure successful implementation of data integration solutions.Stay updated with emerging technologies, trends, and best practices in data integration and ETL.Provide expertise and guidance on data integration best practices and standards to clients and project teams.Participate in data governance initiatives to ensure data quality, security, and compliance.Collaborate with stakeholders to define and implement data integration test plans and execute integration testing.Provide support and training to end-users and stakeholders on data integration processes and tools.","Job Description:. As a Data Integration Consultant, your role will be to design, implement, and optimize data integration solutions for clients. You will work closely with stakeholders, data architects, and developers to understand data integration requirements, define integration strategies, and ensure seamless data flow between systems. Your responsibilities will include data mapping, data transformation, ETL development, and troubleshooting data integration issues.. . Responsibilities:. "
https://www.bayt.com/en/egypt/jobs/senior-software-engineer-senior-technical-software-engineer-java-4886797/,web development,Senior Software Engineer/Senior Technical Software Engineer (Java),Emirates Airlines,2024/02/19,Emirates Airlines,Egypt,"This is your opportunity to showcase your expertise and deliver innovative projects for the world’s largest airline. Depending on your experience, you could be considered for one of two roles:Senior Software EngineerYou’ll need at least three years’ hands-on Java development experience and proven expertise in independently developing and implementing Java solutions and problem resolutions. This role is part of an agile team and involves technical design, software development and implementation and maintenance of software solutions/products that support the Emirates Group business.Senior Technical Software EngineerFor this role, you would need a minimum of five years’ hand-on Java development experience. You’ll provide technical leadership to your team and be responsible for driving and implementing software engineering strategies, standards and guidelines, as well as collaborating with the team to develop business critical technical solutions. This role also involves planning/estimation, application development, deployment, release, hyper-care and operation of developed solutions.Our IT roles are based in cosmopolitan Dubai, so you can enjoy the benefits of year-round sunshine, world-class hospitality and dining, major annual events and much more.Open up a world of possibilities and fast-track your IT career with Emirates, with mentorship programmes, ongoing training, tech academy, a networking/tech community and social events.Salary & Benefits· A competitive, tax-free salary reviewed annually.· 36 calendar days of annual leave, plus public holidays.· Full relocation package for overseas candidates, including flights, shipping, and optional hotel accommodation on arrival.· Annual leave travel with yearly return tickets for the entire family to your home country.· Private medical insurance.· Deeply discounted flight tickets on Emirates and partner networks, for yourself, family and friends.· Access to the Emirates Platinum card which offers a range of exclusive privileges and discounts to employees and dependents across thousands of brand and retail stores, clubs, clinics, hospitality outlets, locally and globally.",
https://www.bayt.com/en/egypt/jobs/backend-software-engineer-4877881/,web development,Backend Software Engineer,EASY APPLY,2024/01/16,KLD,"Giza,Cairo,Egypt","Utilize appropriate coding knowledge and expertise to design fluent, ergonomic, and captivating digital applications.Troubleshoot and debug applications.Evaluating all the necessary steps related to software development to ensure the proper delivery of the desired output.Find potential to enhance ongoing applications through clear and concise meetings with relevant professionals.Assist and support in the maintenance of Web Applications.Define and communicate technical and design requirements.",
https://www.bayt.com/en/egypt/jobs/backend-developer-php-laravel-4872347/,web development,Backend developer ( php laravel ),EASY APPLY,2024/02/12,Metashops,"Cairo,Egypt","back-end developer job descriptionThe digital landscape continues to evolve at a rapid pace, and [Company X] remains on the cutting edge with innovative website designs. We’re looking for a skilled back-end developer to join our team of creators who are consistently raising the bar for user experience. Working behind the scenes, the ideal candidate will have a unique blend of technical expertise, insatiable curiosity, and analytical mindset. This person should be comfortable working independently as well as with a team in the design and development of mission-critical websites, applications, and layers of infrastructure. Experience with JavaScript, Amazon Web Services (AWS), Git, or MongoDB is helpful to succeed quickly in this role. The back-end developer will have an immediate effect on our business success as well as the success of our clients.Objectives of this roleCommunicate regularly with stakeholders, project managers, quality assurance teams, and other developers regarding progress on long-term technology roadmapCreate and maintain workflows with teams to provide visibility and to ensure workload balance for consistent visual designsDevelop and oversee testing schedules in client server environment, addressing various browsers and devices to ensure that content is displayed as intendedProduce quality code, raising the bar for team performance and speedRecommend systems solutions by comparing advantages and disadvantages of custom development and purchased alternativesResponsibilitiesWrite code and tests, build prototypes, resolve issues, and profile and analyze bottlenecksDesign robust APIs to support mobile and desktop clientsManage and optimize scalable distributed systems in the cloudOptimize web applications for performance and scalabilityDevelop automated tests to ensure business needs are met, and allow for regression testing","back-end developer job description. The digital landscape continues to evolve at a rapid pace, and [Company X] remains on the cutting edge with innovative website designs. We’re looking for a skilled back-end developer to join our team of creators who are consistently raising the bar for user experience. Working behind the scenes, the ideal candidate will have a unique blend of technical expertise, insatiable curiosity, and analytical mindset. This person should be comfortable working independently as well as with a team in the design and development of mission-critical websites, applications, and layers of infrastructure. Experience with JavaScript, Amazon Web Services (AWS), Git, or MongoDB is helpful to succeed quickly in this role. The back-end developer will have an immediate effect on our business success as well as the success of our clients.. Objectives of this role. Responsibilities. "
https://www.bayt.com/en/egypt/jobs/testing-consultant-4706592/,web development,Testing Consultant,EASY APPLY,2024/02/12,Flint Consulting Ltd,"Cairo,Egypt","Job Description:As a Testing Consultant, your role will be to provide expertise in software testing methodologies, processes, and tools to clients. You will work closely with project teams, stakeholders, and business analysts to develop and implement comprehensive testing strategies and ensure the quality and reliability of software applications. Your responsibilities will include test planning, test execution, defect management, and providing recommendations for process improvement.Responsibilities:Collaborate with clients and project teams to understand software requirements and define testing objectives.Develop and implement comprehensive test strategies, test plans, and test cases.Conduct risk analysis to identify critical areas for testing and prioritize testing efforts accordingly.Perform manual and automated testing of software applications, including functional, integration, regression, and performance testing.Design, develop, and maintain automated test scripts and frameworks.Execute test cases and document test results, defects, and issues.Monitor and track defects, ensuring their resolution and closure.Identify opportunities for test process improvement and provide recommendations to enhance efficiency and effectiveness.Collaborate with cross-functional teams to ensure proper test environment setup and data preparation.Participate in test plan reviews, defect triage meetings, and project status meetings.Provide guidance and mentorship to junior testing team members.Stay updated with emerging technologies, tools, and best practices in software testing.Collaborate with project managers to provide accurate testing effort estimations and progress updates.Communicate test status, test coverage, and quality metrics to stakeholders.Contribute to the development and maintenance of testing standards, templates, and guidelines.","Job Description:. As a Testing Consultant, your role will be to provide expertise in software testing methodologies, processes, and tools to clients. You will work closely with project teams, stakeholders, and business analysts to develop and implement comprehensive testing strategies and ensure the quality and reliability of software applications. Your responsibilities will include test planning, test execution, defect management, and providing recommendations for process improvement.. . Responsibilities:. "
https://www.bayt.com/en/egypt/jobs/senior-full-stack-developer-4833665/,web development,Senior Full Stack Developer,EASY APPLY,2024/01/12,Confidential Company,"Cairo,Egypt","Utilize Laravel Livewire for efficient front-end development.Markup languages including HTML, JavaScript, and CSS.Database design principles and proficiency in querying using SQL.eCommerce lifecycle development is a significant advantage.WordPress, contributing to a range of web development projects.",
https://www.bayt.com/en/egypt/jobs/java-full-stack-developer-4818100/,web development,Java Full Stack Developer,EASY APPLY,2023/12/29,CITC تكنولوجيا المعلومات المدنية,"Cairo,Egypt","Job Description:We are seeking a highly skilled Full Stack Developer with expertise in Java web technologies, Spring Boot, and Angular/React to join our team. As a Full Stack Developer, you will be responsible for designing, developing, and maintaining robust web applications. Your proficiency in Java, Spring Boot, and front-end technologies (Angular or React) will be crucial in building scalable and efficient solutions. The ideal candidate should have a strong background in full-stack development, with knowledge of Java J2EE technologies.Responsibilities:- Collaborate with cross-functional teams, including product managers, UI/UX designers, and stakeholders, to gather requirements and understand project goals.- Design and develop scalable and high-performance web applications using Java technologies, Spring Boot and Angular/React.- Implement RESTful APIs and integrate with backend systems and databases.- Develop responsive and user-friendly front-end interfaces using Angular/React.- Write clean, maintainable, and efficient code, following best practices and coding standards.- Conduct code reviews and provide constructive feedback to ensure code quality and maintainability.- Perform unit testing and participate in integration testing activities.- Troubleshoot and resolve issues, ensuring the performance, security, and scalability of applications.- Stay up-to-date with the latest trends and advancements in Java, Spring Boot, Angular/React.","Job Description:. We are seeking a highly skilled Full Stack Developer with expertise in Java web technologies, Spring Boot, and Angular/React to join our team. As a Full Stack Developer, you will be responsible for designing, developing, and maintaining robust web applications. Your proficiency in Java, Spring Boot, and front-end technologies (Angular or React) will be crucial in building scalable and efficient solutions. The ideal candidate should have a strong background in full-stack development, with knowledge of Java J2EE technologies.. . Responsibilities:. - Collaborate with cross-functional teams, including product managers, UI/UX designers, and stakeholders, to gather requirements and understand project goals.. - Design and develop scalable and high-performance web applications using Java technologies, Spring Boot and Angular/React.. - Implement RESTful APIs and integrate with backend systems and databases.. - Develop responsive and user-friendly front-end interfaces using Angular/React.. - Write clean, maintainable, and efficient code, following best practices and coding standards.. - Conduct code reviews and provide constructive feedback to ensure code quality and maintainability.. - Perform unit testing and participate in integration testing activities.. - Troubleshoot and resolve issues, ensuring the performance, security, and scalability of applications.. - Stay up-to-date with the latest trends and advancements in Java, Spring Boot, Angular/React."
https://www.bayt.com/en/egypt/jobs/web-development-team-lead-70369453/,web development,Web Development Team Lead,Trufla Technology Ltd.,2024/04/26,Trufla Technology Ltd.,"Cairo,Egypt","/ Web Development Team LeadWeb Development Team LeadhybridCairo, Cairo, Cairo .full-time . December 25, 2023 DescriptionTrufla Technology is a multinational Canadian company and the first of its kind – we offer a complete suite of digital solutions for the modern insurance brokerage. From SEO and web design, to lead management, branded customer service and API’s, Trufla provides a 360° digital strategy for brokerages and reimagines the way their customers interact with insurance.Trufla is leading a digital revolutionthat will transform the insurance industry! We’re growing fast, and we’re looking for visionaries to join our team of innovators and disruptors at our Cairo offices. It’s our goal for Trufla to be theBEST place to work. A great corporate culture is one of our top priorities.Main Benefits:Competitive Salary Connected to USD exchange rate Employees Share Ownership Program Health Insurance Flexible Working Hours Continuing Education Opportunities Hybrid work model Team Building Activities Milestone celebrations – work anniversaries, birthday celebrations, etc.About YouAs an experienced Web Development Team Lead, you have a strong background in CMS-based solutions, particularly in WordPress, and a proficiency in ReactJS and NodeJS for building dynamic, AI-powered web applications. You are adept at SEO strategies and their technical implementation. Your passion for cutting-edge technology, combined with your organizational skills, enables you to lead projects effectively and inspire your team.Job ResponsibilitiesLead development teams in client implementations and module development, with a focus on WordPress, ReactJS, and NodeJS. Engage in team leadership and hands-on development. Enhance processes for efficient delivery of AI-enhanced, dynamic web products. Collaborate with cross-functional teams, integrating SEO, AI strategies, and modern web technologies in project goals. Partner with teams to manage support tickets and optimize SEO and digital analytics implementations. Contribute to UX processes, prioritizing technology solutions that encompass user experience, business objectives, and accessibility. Analyze and improve product processes, focusing on security, accessibility, and performance in an AI-driven environment. Stay updated with emerging technologies and integrate them into operations and products. Expand the developer network, focusing on expertise in AI, WordPress, ReactJS, and NodeJS.Qualifications:5+ years in website development, preferred technologies (WordPress, ReactJS, and NodeJS). 2+ years of leadership experience. Computer Science degree or equivalent experience, with a focus on AI, ReactJS, and NodeJS. Demonstrated expertise in CMS platforms, particularly WordPress. Strong skills in HTML5, Bootstrap 4, PHP, CSS3, JavaScript, and relevant build tools. Experience with agile methodologies and Atlassian products (Jira, Confluence).Values & Competencies:Innovative thinker, skilled in AI-driven web solutions. Adaptable, with strong problem-solving skills and a deep understanding of SEO. Professional demeanor, excellent communication skills, and high ethical standards. Committed to quality, timely delivery, and inspiring team leadership.Trufla Technology is an equal opportunity employer and is committed to all forms of diversity in the workplace. All qualified individuals are encouraged to apply.If you have what it takes, apply to the job through the ""Apply Now"" button above. *After applying, complete your application by taking the required assessment below:",/ Web Development Team Lead. Web Development Team Lead. About You. Job Responsibilities. Qualifications:. Values & Competencies:. Trufla Technology is an equal opportunity employer and is committed to all forms of diversity in the workplace. All qualified individuals are encouraged to apply.
https://www.bayt.com/en/egypt/jobs/senior-test-engineer-4706589/,web development,Senior Test Engineer,EASY APPLY,2024/02/02,Flint Consulting Ltd,"Cairo,Egypt","Job Description:As a Senior Test Engineer, you will be responsible for ensuring the quality and reliability of software applications through the design, development, and execution of comprehensive testing strategies. You will work closely with cross-functional teams, including developers, product managers, and business analysts, to identify test requirements, create test plans, and execute test cases. Your role will involve leading and mentoring a team of test engineers, implementing automated testing frameworks, and driving continuous improvement in the testing process.Responsibilities:Develop and implement comprehensive test strategies and plans for software applications.Collaborate with cross-functional teams to understand software requirements and translate them into test cases.Lead and mentor a team of test engineers, providing guidance and technical expertise.Design and execute test cases, including functional, integration, regression, and performance testing.Develop and maintain automated testing frameworks and scripts for efficient and effective test execution.Identify and prioritize test cases based on risk analysis and business impact.Perform root cause analysis of defects and work closely with developers to resolve issues.Collaborate with product managers and business analysts to ensure test coverage aligns with business requirements.Monitor and track testing progress, report test results, and provide recommendations for improvement.Continuously improve the testing process by implementing best practices and innovative testing techniques.Stay updated with emerging technologies and trends in software testing.Participate in Agile development processes, including sprint planning, retrospectives, and daily stand-ups.Collaborate with cross-functional teams to identify and implement quality assurance process improvements.Provide input on product design, usability, and user experience from a testing perspective.","Job Description:. As a Senior Test Engineer, you will be responsible for ensuring the quality and reliability of software applications through the design, development, and execution of comprehensive testing strategies. You will work closely with cross-functional teams, including developers, product managers, and business analysts, to identify test requirements, create test plans, and execute test cases. Your role will involve leading and mentoring a team of test engineers, implementing automated testing frameworks, and driving continuous improvement in the testing process.. . Responsibilities:. "
