job_link,job_name,label,company_name,post_time,city_name,country_name,about_company,job_responsibilities,job_requirements,Seniority level,Employment type,Job function,Industries,num_applicant
https://eg.linkedin.com/jobs/view/eg-data-science-internship-jumia-full-time-at-jumia-group-3788642786?refId=2EdEBPTwyysYC0ezAeLfjg%3D%3D&trackingId=TipJme91524MFSiHc1%2BDRA%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card,EG - Data Science Internship - Jumia (Full Time),data science,Jumia Group,1 week ago,"Cairo, Cairo",Egypt,About Jumia,"Marketplace, where we integrate with our sellers and manage products;Mall, which is our core e-com platform that enables customers to buy products;Logistics service, which enables the shipment and delivery of packages from sellers to consumers, and our external clients;Payment service, which facilitates transactions among participants active on our platform in our markets.","Collaborate with cross-functional teams to understand business requirements and objectives related to the data science solutions to build; ; Collect, clean, and analyze large datasets to derive meaningful insights and identify opportunities for improvement; ; Develop and implement data science models and algorithms; ; Work closely with the engineering team to deploy and integrate data science solutions within the JUMIA tech ecosystem; ; Monitor and evaluate the performance of implemented models, making adjustments as needed for continuous improvement; ; Communicate findings and results to both technical and non-technical stakeholders through clear and concise reports and presentations; ; Currently pursuing a, Master's or PhD in Data Science, Computer Science, Statistics, or a related field; ; Strong understanding of machine learning concepts and algorithms; ; Proficiency in programming languages such as Python or R as well as SQL; ; Experience with data manipulation and analysis using tools like Pandas, NumPy, or equivalent; ; Familiarity with data visualization techniques and tools (e.g., Matplotlib, Seaborn, Tableau) is a plus; ; Excellent problem-solving skills and attention to detail; ; Effective communication and collaboration skills. ; A unique experience in an entrepreneurial, yet structured environment ; A unique opportunity of having strong impact in building the African e-commerce sector ; The opportunity to become part of a highly professional and dynamic team ; An unparalleled personal and professional growth as our longer term objective is to train the next generation of leaders ; Seniority levelInternship ; Employment typeFull-time ; Job functionEngineering and Information Technology ; IndustriesTechnology, Information and Internet",Internship,Full-time,Engineering and Information Technology,"Technology, Information and Internet",
https://eg.linkedin.com/jobs/view/data-scientist-at-flapkap-3769993953?refId=2EdEBPTwyysYC0ezAeLfjg%3D%3D&trackingId=J7LbUaeQsOHEMM%2FtbNo6Wg%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card,Data Scientist,data science,FlapKap,1 month ago,"Cairo, Cairo",Egypt,What is FlapKap?,Use statistical analysis and machine learning techniques to analyze large datasets and extract insightsDesign and develop predictive models to forecast key business metricsCollaborate with cross-functional teams to understand business requirements and develop data-driven solutionsCommunicate findings and recommendations to stakeholders in a clear and concise manner as well as providing user friendly dashboardsStay up-to-date with the latest techniques and tools in data science and applied analytics,"Advanced degree in a quantitative field such as Statistics, Mathematics, or Computer Science ; Experience working with different datasets and performing statistical analysis ; Proficiency in Python for data manipulation and modeling ; Strong knowledge of applying machine learning algorithms and techniques ; Ability to work in a fast-paced, collaborative environment ; Competitive Salaries ; Hybrid working environment ; Paid time off ; Healthcare coverage ; A highly collaborative team environment that will support your professional and personal growth ; A culture of learning and innovation ; Office located at Maadi, Cairo ; Seniority levelMid-Senior level ; Employment typeFull-time ; Job functionEngineering ; IndustriesTechnology, Information and Internet",Mid-Senior level,Full-time,Engineering,"Technology, Information and Internet",
https://eg.linkedin.com/jobs/view/junior-data-scientist-at-rekrut-by-talent-360-3789765854?refId=2EdEBPTwyysYC0ezAeLfjg%3D%3D&trackingId=jyYLzAHeJCRnwHXtPNBKfA%3D%3D&position=3&pageNum=0&trk=public_jobs_jserp-result_search-card,Junior Data Scientist,data science,Rekrut by Talent 360,1 week ago,"Cairo, Cairo",Egypt,"iSementics, an AI company focusing on Natural Language Processing ,","responsible for collecting and analyzing large datasets to identify patterns, trends, and insights. They develop statistical models and machine learning algorithms to extract valuable information from the data.stay up-to-date with the latest advancements in AI and machine learning. They explore new algorithms, techniques, and methodologies to solve complex problems. They may conduct experiments, run simulations, and prototype new models.design and develop machine learning algorithms and models. They work on feature engineering, model selection, hyperparameter tuning, and optimization to improve the performance and accuracy of the models. They also evaluate the robustness and scalability of the algorithms.cleaning and preprocessing data before it can be used for analysis and modeling. This involves handling missing data, removing outliers, transforming variables, and ensuring data quality.implement machine learning models and algorithms using programming languages such as Python or R. They work with frameworks and libraries like TensorFlow, PyTorch, or scikit-learn to train and deploy models in production environments.validate and test models on different datasets to ensure their accuracy, precision, recall, and other performance measures.","A Bachelor’s degree in Computer Science, computer engineering, or telecommunications with an accumulative grade of “Very Good” or above. ; Familiarity with machine learning and data science stack of tools: ; Python programming language ; Numpy ; Pandas ; Scikit-learn ; Pytorch ; HuggingFace Library ; Completed the following courses, or their equivalents: ; Computational Thinking using Python, from MIT ; Algorithms Specialization, from Stanford ; Machine Learning Specialization, from Stanford and deeplearning.ai ; Deep Learning Specialization, from deeplearning.ai ; HuggingFace Course ; Generative AI with Large Language Models, from AWS and deeplearning.ai ; Preferred (big bonus) ; Natural Language Processing with Transformers book, by HuggingFace ; Intermediate Python Nanodegree, from Udacity ; Python programming language ; Numpy ; Pandas ; Scikit-learn ; Pytorch ; HuggingFace Library ; The technical interview questions will be derived from these resources. ; No more technical knowledge is required to be hired. You only need to deeply absorb the content in the aforementioned resources, or their equivalents ; Hybrid. ; Working days: Sunday - Thursday. ; Days Off: Friday- Saturday. ; Location: Downtown - Cairo. ; Package: Huge opportunity to learn + Courses covered 100% by the company + Attractive Salary + Social Insurance + Medical Insurance. ; Seniority levelEntry level ; Employment typeFull-time ; Job functionOther ; IndustriesSoftware Development",Entry level,Full-time,Other,Software Development,
https://eg.linkedin.com/jobs/view/junior-python-developer-remote-internship-it-at-talentkompass-deutschland-3786032637?refId=2EdEBPTwyysYC0ezAeLfjg%3D%3D&trackingId=Cx2xlvIUgEE7pmT7DNaYdA%3D%3D&position=4&pageNum=0&trk=public_jobs_jserp-result_search-card,Junior Python Developer (Remote Internship - IT),data science,TalentKompass Deutschland,1 week ago,"Cairo, Cairo",Egypt,LOCATION,"Assist in the design, implementation, and maintenance of software applicationsCollaborate with cross-functional teams to gather requirements and develop solutionsConduct research on emerging software technologies and trendsParticipate in software debugging and performance optimizationTest and debug applications to ensure optimal performance and securitySupport the team with general administrative tasks as neededContribute to the creation of technical documentation and user guides","Basic understanding of software development principles and practices ; Familiarity with Python and its associated libraries ; Excellent written and verbal communication skills in English ; Ability to work independently and as part of a team ; Strong analytical and problem-solving skills ; Knowledge of database systems, such as MySQL, PostgreSQL, is a plus ; Experience with version control systems, such as Git, is a plus ; Seniority levelInternship ; Employment typeInternship ; Job functionEngineering and Information Technology ; IndustriesHuman Resources Services",Internship,Internship,Engineering and Information Technology,Human Resources Services,
https://eg.linkedin.com/jobs/view/junior-data-analyst-remote-internship-data-analysis-at-talentkompass-deutschland-3786039027?refId=2EdEBPTwyysYC0ezAeLfjg%3D%3D&trackingId=jfKDDUFv6rrrSN7XaSjXLA%3D%3D&position=5&pageNum=0&trk=public_jobs_jserp-result_search-card,Junior Data Analyst (Remote Internship - Data Analysis),data science,TalentKompass Deutschland,1 week ago,"Luxor, Luxor",Egypt,LOCATION:,"Collect, clean, and analyze data from various sources to support consulting projectsAssist in the development of data models and statistical analysis to identify trends and insightsCollaborate with cross-functional teams to gather and analyze dataCreate data visualizations and dashboards using tools such as Tableau or Power BIPresent findings and insights to the consulting team and contribute to project reportsParticipate in brainstorming sessions and contribute ideas for data-driven solutionsSupport the team with general administrative tasks as needed",Strong analytical and problem-solving skills ; Proficient in Microsoft Excel or other data analysis tools ; Excellent written and verbal communication skills in English ; Familiarity with data analysis principles and practices ; Ability to work independently and as part of a team ; Strong organizational skills and the ability to manage multiple projects simultaneously ; Knowledge of statistical analysis tools and techniques is a plus ; Experience with data visualization tools such as Tableau or Power BI is a plus ; Seniority levelInternship ; Employment typeInternship ; Job functionInformation Technology ; IndustriesHuman Resources Services,Internship,Internship,Information Technology,Human Resources Services,177 applicants
https://eg.linkedin.com/jobs/view/junior-python-developer-remote-internship-it-at-talentkompass-deutschland-3786039086?refId=2EdEBPTwyysYC0ezAeLfjg%3D%3D&trackingId=UD7JMdIMn%2F2ca7hGiXalKQ%3D%3D&position=6&pageNum=0&trk=public_jobs_jserp-result_search-card,Junior Python Developer (Remote Internship - IT),data science,TalentKompass Deutschland,1 week ago,"Asyūţ, Asyut",Egypt,LOCATION,"Assist in the design, implementation, and maintenance of software applicationsCollaborate with cross-functional teams to gather requirements and develop solutionsConduct research on emerging software technologies and trendsParticipate in software debugging and performance optimizationTest and debug applications to ensure optimal performance and securitySupport the team with general administrative tasks as neededContribute to the creation of technical documentation and user guides","Basic understanding of software development principles and practices ; Familiarity with Python and its associated libraries ; Excellent written and verbal communication skills in English ; Ability to work independently and as part of a team ; Strong analytical and problem-solving skills ; Knowledge of database systems, such as MySQL, PostgreSQL, is a plus ; Experience with version control systems, such as Git, is a plus ; Seniority levelInternship ; Employment typeInternship ; Job functionEngineering and Information Technology ; IndustriesHuman Resources Services",Internship,Internship,Engineering and Information Technology,Human Resources Services,86 applicants
https://eg.linkedin.com/jobs/view/junior-data-analyst-remote-internship-data-analysis-at-talentkompass-deutschland-3786039165?refId=2EdEBPTwyysYC0ezAeLfjg%3D%3D&trackingId=FE6hSyOGKVOgwarppfnDCw%3D%3D&position=7&pageNum=0&trk=public_jobs_jserp-result_search-card,Junior Data Analyst (Remote Internship - Data Analysis),data science,TalentKompass Deutschland,1 week ago,"Asyūţ, Asyut",Egypt,LOCATION:,"Collect, clean, and analyze data from various sources to support consulting projectsAssist in the development of data models and statistical analysis to identify trends and insightsCollaborate with cross-functional teams to gather and analyze dataCreate data visualizations and dashboards using tools such as Tableau or Power BIPresent findings and insights to the consulting team and contribute to project reportsParticipate in brainstorming sessions and contribute ideas for data-driven solutionsSupport the team with general administrative tasks as needed",Strong analytical and problem-solving skills ; Proficient in Microsoft Excel or other data analysis tools ; Excellent written and verbal communication skills in English ; Familiarity with data analysis principles and practices ; Ability to work independently and as part of a team ; Strong organizational skills and the ability to manage multiple projects simultaneously ; Knowledge of statistical analysis tools and techniques is a plus ; Experience with data visualization tools such as Tableau or Power BI is a plus ; Seniority levelInternship ; Employment typeInternship ; Job functionInformation Technology ; IndustriesHuman Resources Services,Internship,Internship,Information Technology,Human Resources Services,
https://eg.linkedin.com/jobs/view/data-analyst-at-nawy-3732198111?refId=2EdEBPTwyysYC0ezAeLfjg%3D%3D&trackingId=rgNWCMdMjBMaQVLP7bgKeA%3D%3D&position=9&pageNum=0&trk=public_jobs_jserp-result_search-card,Data Analyst,data science,Nawy,2 months ago,"Cairo, Cairo",Egypt,,"Data Analysis: Perform advanced data analysis to extract insights, identify trends, and provide actionable recommendations to support business objectivesData Management: Oversee the end-to-end data management process, including data extraction, transformation, and loading (ETL) using Azure cloud technologiesTeam Leadership: Lead a team of data analysts, providing guidance, mentoring, and training to ensure the team's successData Pipeline Management: Manage and optimize data pipelines using Apache Airflow to ensure data availability, quality, and reliabilityData Visualization: Create meaningful and informative data visualizations and reports to communicate insights effectively to stakeholdersCollaboration: Collaborate with cross-functional teams, including data engineers, data scientists, and business stakeholders, to define data requirements and deliver actionable insightsQuality Assurance: Ensure data accuracy, integrity, and compliance with relevant data governance and security standardsPerformance Monitoring: Implement monitoring and alerting systems to proactively identify and address data-related issuesContinuous Improvement: Stay updated on industry best practices and emerging technologies to continuously improve data analytics processes and tools","Bachelor's degree in a relevant field (e.g., Computer Science, Data Science, Statistics, or related) ; 1-3 years of professional experience in data analysis ; Proven experience with Azure cloud services and data stack ; Strong proficiency in SQL for data querying and manipulation ; Proficiency in Apache Airflow for ETL workflows ; Experience with data visualization tools such as Power BI or Tableau ; Excellent problem-solving and critical-thinking skills ; Strong communication and leadership abilities ; Attention to detail and a commitment to data accuracy ; Knowledge of real estate or proptech industry a plus ; Competitive salary and performance-based bonuses ; Health insurance ; Professional development opportunities ; Dynamic and collaborative work environment ; Seniority levelMid-Senior level ; Employment typeFull-time ; Job functionInformation Technology ; IndustriesTechnology, Information and Internet",Mid-Senior level,Full-time,Information Technology,"Technology, Information and Internet",
https://eg.linkedin.com/jobs/view/junior-business-analyst-remote-internship-at-talentkompass-deutschland-3786034771?refId=2EdEBPTwyysYC0ezAeLfjg%3D%3D&trackingId=HFPOdfSglakFFQsWaHNC7g%3D%3D&position=10&pageNum=0&trk=public_jobs_jserp-result_search-card,Junior Business Analyst (Remote Internship),data science,TalentKompass Deutschland,1 week ago,"Alexandria, Alexandria",Egypt,LOCATION:,"A genuine interest in understanding business operationsRobust analytical skills and the ability to extract meaningful insights from complex data setsExceptional communication and interpersonal skills, with a knack for collaborating with team members at all levelsMeticulous attention to detail and the ability to work precisely in a fast-paced environmentA commitment to learning and growing in the field of business analysisFamiliarity with Microsoft Excel or other data analysis toolsA basic understanding of statistical analysis and modeling techniques","Assist in collecting and analyzing data from various sources ; Collaborate with consultants to identify trends and insights ; Develop recommendations to address business challenges ; Participate in team meetings, contributing ideas and insights ; Foster a positive team culture and collaborate to achieve team objectives ; Support the creation of project documentation ; Seniority levelInternship ; Employment typeInternship ; Job functionResearch, Analyst, and Information Technology ; IndustriesHuman Resources Services",Internship,Internship,"Research, Analyst, and Information Technology",Human Resources Services,64 applicants
https://eg.linkedin.com/jobs/view/junior-python-developer-remote-internship-it-at-talentkompass-deutschland-3786039196?refId=2EdEBPTwyysYC0ezAeLfjg%3D%3D&trackingId=NHwlS9KwxtkE5von22D3EA%3D%3D&position=12&pageNum=0&trk=public_jobs_jserp-result_search-card,Junior Python Developer (Remote Internship - IT),data science,TalentKompass Deutschland,1 week ago,"Alexandria, Alexandria",Egypt,LOCATION,"Assist in the design, implementation, and maintenance of software applicationsCollaborate with cross-functional teams to gather requirements and develop solutionsConduct research on emerging software technologies and trendsParticipate in software debugging and performance optimizationTest and debug applications to ensure optimal performance and securitySupport the team with general administrative tasks as neededContribute to the creation of technical documentation and user guides","Basic understanding of software development principles and practices ; Familiarity with Python and its associated libraries ; Excellent written and verbal communication skills in English ; Ability to work independently and as part of a team ; Strong analytical and problem-solving skills ; Knowledge of database systems, such as MySQL, PostgreSQL, is a plus ; Experience with version control systems, such as Git, is a plus ; Seniority levelInternship ; Employment typeInternship ; Job functionEngineering and Information Technology ; IndustriesHuman Resources Services",Internship,Internship,Engineering and Information Technology,Human Resources Services,111 applicants
https://eg.linkedin.com/jobs/view/ai-machine-learning-engineer-at-migrationit-3790333286?refId=2EdEBPTwyysYC0ezAeLfjg%3D%3D&trackingId=D47klZIQVhx8lykhhuqyoQ%3D%3D&position=13&pageNum=0&trk=public_jobs_jserp-result_search-card,AI/Machine Learning Engineer,data science,MigrationIT,1 week ago,"Cairo, Cairo",Egypt,,"Data requirements gathering and client engagement.Being able to engage with the client to understand their pain points and requirements.Communicate solutions/propositions effectively back to client/teamData analysis and pre-processingCollect and clean large datasets for machine learning projects.Explore data to identify patterns, anomalies, and potential insights.Pre-process data, including feature engineering and normalization.Algorithm DevelopmentDesign, develop, and implement machine learning algorithmsOptimize algorithms for accuracy, efficiency, and scalability.Model Training and EvaluationTrain machine learning models using collected data.Perform testing to validate modelsEvaluate model performance using appropriate metrics and techniques.Fine-tune models to improve predictive accuracy.Data VisualizationCreate informative data visualizations to communicate insights effectively","Mastery in AI and ML algorithms, frameworks (e.g., TensorFlow, PyTorch), and libraries. ; Proficient in data collection, pre-processing, and analysis ; Proven experience in developing and fine-tuning machine learning models. ; Experiment with various machine learning models and techniques. ; Familiarity with visualization libraries like Matplotlib, Seaborn, or data visualization software’s like Tableau, PowerBI. ; Familiarity with deploying ML frameworks in industry. ; A strong interest in staying abreast of the latest AI/ML advancements. ; Previous experience leading AI/ML initiatives. ; Seniority levelEntry level ; Employment typeFull-time ; Job functionConsulting ; IndustriesBusiness Consulting and Services",Entry level,Full-time,Consulting,Business Consulting and Services,186 applicants
