job_link,job_name,label,company_name,post_time,city_name,country_name,about_company,job_responsibilities,job_requirements,Seniority level,Employment type,Job function,Industries,num_applicant
https://eg.linkedin.com/jobs/view/junior-android-developer-at-rekrut-by-talent-360-3784988941?refId=pK%2Bj%2BzxG2YAT7cRzVZhD8Q%3D%3D&trackingId=wgQ8hBEK6DIcrmw%2B%2BbRJbA%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card,Junior Android Developer,mobile app,Rekrut by Talent 360,2 weeks ago,"Cairo, Cairo",Egypt,I,"Design and build advanced applications for the Android platformCollaborate with cross-functional teams to define, design, and ship new featuresWork with outside data sources and APIsUnit-test code for robustness, including edge cases, usability, and general reliabilityWork on bug fixing and improving application performanceContinuously discover, evaluate, and implement new technologies to maximize development efficiency","BS/MS degree in Computer Science, Engineering or a related subject ; At least 1 year of proven working experience in Android app development ; Have published at least one original Android app ; Experience with third-party libraries and APIs ; Working knowledge of the general mobile landscape, architectures, trends, and emerging technologies ; Solid understanding of the full mobile development life cycle. ; Location: New Cairo ; Working hours: 9-11 AM - 5-7 PM ; Days off: Friday & Saturday ; Social insurance ; Medical insurance ; Seasonal bonus ; Laptop & Mobile line allowance ; Attractive salary ; Seniority levelEntry level ; Employment typeFull-time ; Job functionOther ; IndustriesBusiness Consulting and Services",Entry level,Full-time,Other,Business Consulting and Services,
https://eg.linkedin.com/jobs/view/android-developer-at-on-hire-3778954010?refId=pK%2Bj%2BzxG2YAT7cRzVZhD8Q%3D%3D&trackingId=WHxeCosG6%2Fm6rVAt78Fb1A%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card,Android Developer,mobile app,On-Hire,3 weeks ago,"Cairo, Cairo",Egypt,Job Description:,Develop and maintain mobile applications for the Android platformCollaborate with designers to ensure the visual design is translated into a functional and,"Integrate with backend systems and APIs ; Test and debug mobile applications to ensure they work as expected ; Optimize mobile applications for performance and battery life ; Stay up-to-date with industry trends and recommend new technologies and best practices ; At least 3 years of experience in Kotlin/Java programming language ; Experience with Android SDK, Android Studio, and related tools ; Knowledge of mobile app architecture patterns such as MVP or MVVM ; Experience in working with RESTful APIs and JSON ; Very good command of English (both spoken and written) ; Strong communication and collaboration skills ; Problem-solving skills and attention to detail ; Ability to work in a fast-paced environment and learn quickly ; Bachelor's degree in Computer Science or related field, or equivalent experience ; Most of the team is Arabic-speaking, so a very good command of Arabic is a nice too have (in ; Seniority levelAssociate ; Employment typeFull-time ; Job functionInformation Technology ; IndustriesTechnology, Information and Internet",Associate,Full-time,Information Technology,"Technology, Information and Internet",168 applicants
https://eg.linkedin.com/jobs/view/mobile-android-engineer-at-yassir-3759782872?refId=pK%2Bj%2BzxG2YAT7cRzVZhD8Q%3D%3D&trackingId=Hf14Qo7xP1MB0M0TA%2Bwk3w%3D%3D&position=3&pageNum=0&trk=public_jobs_jserp-result_search-card,Mobile Android Engineer,mobile app,Yassir,2 months ago,"Cairo, Cairo",Egypt,,"Design and build mobile applications for AndroidEnsure the performance, quality, and responsiveness of applicationsCollaborate with a team to define, design, and ship new featuresIdentify and correct bottlenecks and fix bugsHelp maintain code quality, organization, and automatizationParticipate in brainstorming sessions and contribute ideas to our technology, algorithms, and productsWork with the engineering and design teams to understand end-user requirements, formulate use cases, and then translate that into a pragmatic and effective technical solutionDive into difficult problems and successfully deliver results on schedule","Must have technical skills ; A minimum of 3 years of experience in developing Android Apps ; Language: Android, Kotlin ; Familiarity with cloud message APIs and push notification ; Web architecture: Rest and restful APIs, micro-services ; Version control: GIT ; Nice to have technical skills (Strongly advised) ; Containers: Docker, Kubernetes ; Caching, Redis server ; Scaling, Web load balancing ; Experience in a rapidly growing company in the mobility, on-demand, or fintech space is a plus ; BSc/MSc in Engineering, Computer Science, or relevant field ; 😎 You will be part of one of the first Algerian startups to go through the Y Combinator program and one of the fastest-growing tech companies in North Africa. We are current in +25 cities (Algeria, Tunisia, Morocco, Paris, Berlin, and launching West Africa) ; 🤙🏽Have a lasting impact on our company's culture - you'll be one of the first staff in our Europe office ; 🎉 At Yassir we celebrate everything. OKR´s party! ; 🕟 Flexible working hours, because we care about your outcome and not output ; 💻 24/7 Office ; 📱 Mobile office - Office in all our sites 4 weeks at any location ; 🚉 Subsidized public transit pass ; 💬 Languages courses ; 📚 Yassir's academy ; 🚀 Perfect timing with renowned investors to build something great ; 🎯 Outstanding mentors who will assist you in your growth ; 💸 Attractive salary and you even get a stake in the company ; 📈 Extremely steep learning curve with own responsibility and intensive guidance ; 📣 Learn to be pragmatic and make the right and sustainable decisions ; 👌🏽Very strong team cohesion with daily and weekly activities ; 💯 Make a real impact on the world by helping us bring affordable financial and on-demand services to millions of Africans ; 👍🏽 Attractive offer with a well-paying salary ; 🤝 Buddy program ; ⚖️ As a company, we are passionate for diversity and inclusion, 40% of our team are women leaders in the tech sector ; Seniority levelNot Applicable ; Employment typeFull-time ; Job functionEngineering and Information Technology ; IndustriesTransportation, Logistics, Supply Chain and Storage",Not Applicable,Full-time,Engineering and Information Technology,"Transportation, Logistics, Supply Chain and Storage",136 applicants
https://eg.linkedin.com/jobs/view/senior-mobile-software-engineer-at-mondia-group-3731855560?refId=pK%2Bj%2BzxG2YAT7cRzVZhD8Q%3D%3D&trackingId=jsteoVQOJUqZLGCaHCWm8w%3D%3D&position=4&pageNum=0&trk=public_jobs_jserp-result_search-card,Senior Mobile Software Engineer,mobile app,Mondia Group,3 months ago,"Cairo, Cairo",Egypt,,"Develop and maintain Android applications using Kotlin, ensuring they meet performance, quality and user experience standards.Utilize expertise in multi-platform development frameworks such as React Native, Flutter, and Kotlin/Native to create adaptable solutions for different platforms and devices.Design and build next-generation headless SDKs for tenant-class customers to seamlessly integrate our services into their mobile and web applications.Collaborate with cross-functional teams, including middleware backend and frontend developers, to address complex technical challenges and ensure the smooth integration of mobile apps with other systems.Champion a user-centric approach by advocating for design decisions that prioritize a positive user experience and usability in the mobile apps.Work closely with the Quality Assurance team to identify and resolve issues, bugs, and performance bottlenecks in the mobile applications.Actively participate in code reviews, provide constructive feedback, and adhere to coding best practices to maintain high code quality.Create and maintain technical documentation for mobile applications and SDKs to facilitate efficient development and future maintenanceStay up-to-date with the latest developments in the Android and iOS ecosystems, ensuring that our apps and SDKs leverage the latest features and optimizations.Collaborate with Scrum Masters, Design Teams, and Planning Teams to align development efforts with project goals and timelines.Proactively identify areas for improvement in development processes, tools, and technologies, and implement enhancements to increase efficiency and quality.Be flexible and adaptable in responding to changing project priorities and requirements, including shifting between different platforms and frameworks as needed.Act as a critical team member, contributing to a positive team culture, knowledge sharing, and mentorship of junior team members.","College diploma in a computer science, software development, or software engineering field of study completed 6-12 years ago, Bachelor degree with a field of study in computer science, computer engineering, computer mathematics completed 6-10 years ago, or equivalent experience. ; Evidence of continuing education, whether formal/structured or informal, in the field of mobile software development, design pattern development, or mobile software architecture. ; iOS and Android development experience is mandatory. ; At six years of software development experience targeting iOS and Android ; At least two years out of the last six years working with in Custom UI Experience Design ; Strong knowledge of two of the following frameworks: React, React Native, Flutter, Kotlin/Native ; Experience with systems-level programming is highly desirable. ; Experience with RUST or Go is desirable. ; Health insurance ; Flat hierarchies and short decision-making paths ; Cooperation in a highly motivated, young, international team spread across 3 continents ; An attractive location in a creative and modern office in New Cairo ; Paid time off ; Seniority levelMid-Senior level ; Employment typeFull-time ; Job functionEngineering ; IndustriesTechnology, Information and Internet",Mid-Senior level,Full-time,Engineering,"Technology, Information and Internet",106 applicants
https://eg.linkedin.com/jobs/view/growth-engineer-with-computer-science-background-at-fabulous-3719404953?refId=pK%2Bj%2BzxG2YAT7cRzVZhD8Q%3D%3D&trackingId=hAkz9pVpxP8h%2Bs06vvvXaw%3D%3D&position=5&pageNum=0&trk=public_jobs_jserp-result_search-card,Growth Engineer (with Computer Science Background),mobile app,Fabulous,3 months ago,,Egypt,Working at Fabulous,Apple Best Apps of 2018Editor’s app choice in more than 30 countriesWinner of Google’s Material Design AwardBest App Finalist in Google Play AwardsRanked 5th Health & Fitness app,"Peer-reviewing Growth code and assisting in code review for Growth experiment ; Assisting with experiment launches on Google Firebase ; Debugging code and working closely with the product development team ; Assist in QAing new features prior to releases ; Peer-reviewing experiment analysis ; Owning the translations of winning experiments into other languages/across platforms, and owning this experimentation process from start to finish ; Has a background in software engineering ; Is very confident in JSON & JAVA or Javascript (SQL is bonus) ; Is comfortable with statistical significance and common types of statistical bias ; Understands the basics of good experimental design ; Is passionate about growth, metrics, and providing an outstanding user experience ; Is data-driven and analytical. Our team strives to find user patterns and leverage them to optimize key metrics and user experience ; Passion for learning and an interest in behavioral science is a bonus ; Ideally, has a bachelor’s degree in statistics, computer science, engineering, any technical major, or related work experience ; Has designed and run AB/ RCT trials before. Understand the nuances of good experimental design ; Background in data science is a bonus ; Background/interest in ML ; Monthly Workshops ; A Book Club ; Team Challenges ; Team-Building Activities ; A flexible and fully remote working environment ; Seniority levelEntry level ; Employment typeFull-time ; Job functionEngineering and Information Technology ; IndustriesTechnology, Information and Internet",Entry level,Full-time,Engineering and Information Technology,"Technology, Information and Internet",
https://eg.linkedin.com/jobs/view/product-manager-at-koinz-3787925106?refId=pK%2Bj%2BzxG2YAT7cRzVZhD8Q%3D%3D&trackingId=7jJM%2Fihy9%2FXVSFpC48ZQhQ%3D%3D&position=6&pageNum=0&trk=public_jobs_jserp-result_search-card,Product Manager,mobile app,Koinz,1 week ago,"Cairo, Cairo",Egypt,What you will be working on here in Koinz:,"Participate in the product strategy & and roadmap-setting process across multiple teams, primarily product, design, and engineering.Establishing and communicating product vision, feature requirements, their impact, and priorities to engineering and design teams.Analyze and share a deep understanding of overarching customer behavior to understand future trends and areas of a potential investment.Maintain the right product area priorities that ultimately feed the tactical backlog.Manage cross-org projects, and unify the relevant stakeholders.Touch base with customers who represent the right personas for the company’s growing areas of investment.Utilizing a diverse set of analytics tools to establish, measure, track, and optimize key metrics for our products.","Have a bachelor’s degree in computer engineering, Computer Science, or equivalent. ; Have 3+ years of experience in a similar position. ; Previous experience in agile/scrum project management. ; Social, medical, and Life insurance. ; Flexible working hours. ; Hybrid working from home/office. ; The ability to bring your animals to the office. ; Mobile provided if needed. ; Seniority levelMid-Senior level ; Employment typeFull-time ; Job functionProduct Management and Marketing ; IndustriesInternet Publishing",Mid-Senior level,Full-time,Product Management and Marketing,Internet Publishing,126 applicants
https://eg.linkedin.com/jobs/view/android-software-engineer-at-microsoft-3784484440?refId=pK%2Bj%2BzxG2YAT7cRzVZhD8Q%3D%3D&trackingId=Akp91sCAmb2hkmT%2FJo1TsA%3D%3D&position=7&pageNum=0&trk=public_jobs_jserp-result_search-card,Android Software Engineer,mobile app,Microsoft,1 week ago,"Cairo, Cairo",Egypt,Responsibilities,"Solving technical problems to deliver great outcomes for our customers, team, and businessCoordinating the technical delivery of various projects undertaken by the team through our two-week sprints by facilitating collaboration through all stages of the project lifecycleWorking with other teams across geographies and time zones to ensure best practice is followed, and to develop automated processes and systems to mitigate risk in the development processUse runtime analysis and data to be able to identify root causes of issues to work to improve our customer’s experiencesHelping your colleagues be successful, for example by promoting and modelling best practices, sharing your knowledge, giving them space to shine, being an ally, and generally contributing to an inclusive and inspiring team culture that encourages all to demonstrate a growth mindset and bring their best selves to workParticipating in innovation and ideation sessions, and in the time set aside for learning","Participating in our two annual hack weeks, with the possibility of collaborating with teams you don’t normally work with ; Attending or presenting internal or external talks, conferences and events ; Getting involved in employee groups and networks of all kinds or creating your own – we have resource groups for various demographics including families, women, people with disabilities, and minority groups; we have Mental Health Ambassadors; we have Disaster Response Volunteers; we have all sorts of social clubs and societies; we have hack week organisers; and on it goes. ; You embrace our values of Respect, Integrity, and Accountability ; You are curious, adaptable, and strive for continual improvement for yourself and for those around you, making good use of the full range of support available to all of our teams ; You can communicate effectively to both technical and non-technical collaborators and stakeholders ; You have 3 years of experience working with others to build, debug and maintain consumer-facing Android apps through multiple versions, and are comfortable with Kotlin and Java, as well version control, code review, pair programming, unit testing, integration testing, work item tracking, prioritisation, and continuous integration/deployment ; You are fluent in English ; You have experience in automation techniques, processes and methods used to drive quality improvements, or you’re excited to learn ; You have experience in evaluating data from a variety of sources to draw conclusions about the quality and stability of software and use this to inform approaches to improve identified measures over time, or you want to up-skill in this area ; Seniority levelNot Applicable ; Employment typeFull-time ; Job functionEngineering and Information Technology ; IndustriesSoftware Development",Not Applicable,Full-time,Engineering and Information Technology,Software Development,
https://eg.linkedin.com/jobs/view/flutter-developer-at-sarmad-3728000572?refId=pK%2Bj%2BzxG2YAT7cRzVZhD8Q%3D%3D&trackingId=d5g3wtuoV4Lcn%2BhHelKKIw%3D%3D&position=8&pageNum=0&trk=public_jobs_jserp-result_search-card,Flutter Developer,mobile app,Sarmad,3 months ago,"Cairo, Cairo",Egypt,Responsibilities,"Support the entire application lifecycle (concept, design, test, release and support)Produce fully functional mobile applications writing clean codeGather specific requirements and suggest solutionsWrite unit and UI tests to identify malfunctionsTroubleshoot and debug to optimize performanceDesign interfaces to improve user experienceLiaise with Product development team to plan new featuresEnsure new and legacy applications meet quality standardsResearch and suggest new mobile products, applications and protocolsStay up-to-date with new technology trends","Proven work experience as a Flutter developer ; Demonstrable portfolio of released applications on the App store or the Android market ; In-depth knowledge of at least one extra programming language like Swift, Kotlin and Java ; Experience with third-party libraries and APIs ; Familiarity with OOP design principles ; Excellent analytical skills with a good problem-solving attitude ; Ability to perform in a team environment ; BSc degree in Computer Science or relevant field ; Experience in Banking and Financial industry is a big credit ; Attractive salaries ; Hybrid work model ; Healthy working environment ; Medical Insurance ; Social Insurance ; Seniority levelMid-Senior level ; Employment typeFull-time ; Job functionInformation Technology ; IndustriesTechnology, Information and Internet",Mid-Senior level,Full-time,Information Technology,"Technology, Information and Internet",
https://eg.linkedin.com/jobs/view/software-engineer-android-at-shahry-3761083782?refId=pK%2Bj%2BzxG2YAT7cRzVZhD8Q%3D%3D&trackingId=BxvSsurmyqTyfMZ4UVxFJg%3D%3D&position=9&pageNum=0&trk=public_jobs_jserp-result_search-card,Software Engineer (Android),mobile app,Shahry,1 month ago,"Cairo, Cairo",Egypt,About Shahry,"We’re looking for a developer who we can learn from and help us take our app to the next levelWe love to share the knowledge we have and to learn new things from youYou have keen interest in architecture: how to build complex applications that are maintainableAs a developer your role will include having an overview of architectural decisions. You will discuss technical solutions with the rest of the team and act as an inspiration to keep the code base cleanYou are interested in problem solving and enjoy finding the simplest possible solution to complex problemsYou take pride in the quality of your work; you cover the edge cases and write unit testsYou work well with teams, even in areas besides Android development, but are also capable of performing as a sole developer in your area","Sound knowledge in Kotlin and reasonable level of Java ; Experience with Development lifecycle tools and processes (Git, Jira) ; Knowledgeable about modern mobile technologies and architecture (Kotlin, MVVM with clean code architecture, Retrofit, Dagger 2, Dagger Hilt, RX. ; Experience to mentor lower levels of android developers (Fresh and Junior) ; Experience integrating with REST APIs ; Excellent communication skills in English ; Interest in new technologies (Kotlin Coroutines, Compose, MVI, Modularity) ; Experience working with large teams on mature products with many users ; Experience building new products with an eye on maintainability and scalability ; A degree in computer science or equivalent ; Experience integrating with GraphQL ; Experience with Unit testing, UI testing, CI/CD. ; Experience with payment platforms, FinTech or Banking ; 1-3 years full-time professional experience ; Committed to writing structured, clean, and testable code ; Raise the level of everyone around you ; Happy hacking on new technology, loves R&D ; Always curious, always learning ; Vision for product development and for how a code base evolves ; A pleasure to work with ; Seniority levelEntry level ; Employment typeFull-time ; Job functionEngineering ; IndustriesSoftware Development",Entry level,Full-time,Engineering,Software Development,153 applicants
https://eg.linkedin.com/jobs/view/senior-product-manager-at-koinz-3787921876?refId=pK%2Bj%2BzxG2YAT7cRzVZhD8Q%3D%3D&trackingId=i%2BIcSq62lFKFtCj0h8BX3A%3D%3D&position=10&pageNum=0&trk=public_jobs_jserp-result_search-card,Senior Product Manager,mobile app,Koinz,1 week ago,"Cairo, Cairo",Egypt,Role Brief:,"Strategic Contribution: Contribute to the product strategy and roadmap development process across multiple teams, particularly product, design, and engineering. Influence decisive direction and clear decision-making rooted in a deep understanding of our product, industry trends, and customer needs.Vision Communication: Communicate the product vision, set high-level feature requirements, their anticipated impact, and prioritization. Ensure alignment across engineering, design, and other key stakeholders to maintain focus on key product objectives.Customer Insights and Market Trends: Lead in-depth analysis of customer behavior, market trends, and competitive landscape. Use this understanding to identify opportunities for investment and innovation that will drive future growth and differentiation.Product Prioritization: Set and maintain strategic priorities for product areas that feed into the tactical backlog. Guide and oversee backlog grooming and sprint planning, ensuring alignment with overall product strategy.Cross-functional Project Management: Lead and manage complex cross-organizational projects. Coordinate and align all stakeholders around common goals, timelines, and deliverables. Facilitate effective communication and collaboration to drive project success.Customer Engagement: Regularly engage with key customer personas to gain insights into their needs, challenges, and feedback on our product. Use these insights to inform strategic planning and investment in growing areas.Analytics and Performance Tracking: Oversee the use of a diverse set of analytics tools to establish, track, and optimize key product metrics. Regularly review performance against KPIs and drive initiatives to improve product performance and user satisfaction.Team Leadership and Development: Provide mentorship and guidance to product managers and other team members. Foster a culture of excellence, continuous learning, and innovation within the product team.","Have a Bachelor's Degree in Computer Engineering, Computer Science, or equivalent. ; Have +3 years of experience as a product manager, preferably in Food and Beverage Industry. ; Previous experience in agile/scrum project management. ; Social, medical, and Life insurance. ; Flexible working hours. ; Hybrid working from home/office. ; The ability to bring your animals to the office. ; Mobile provided if needed. ; Seniority levelMid-Senior level ; Employment typeFull-time ; Job functionProduct Management and Marketing ; IndustriesInternet Publishing",Mid-Senior level,Full-time,Product Management and Marketing,Internet Publishing,90 applicants
