job_title,job_link,label,company_name,city_name,post_time,country_name,job_type,Experience Needed:,Career Level:,Education Level:,Salary:,job_description,job_requirements,Gender:
Application Architect _VOIS,https://wuzzuf.net/jobs/p/QiVFRbhA1hyU-Application-Architect-VOIS-Vodafone---Egypt-Aggregated-Cairo-Egypt,mobile app,Vodafone ,Cairo,6 daysago,Egypt,Full Time,Not Specified,Not specified,Not Specified,Confidential,"•    Define all aspects of development from appropriate technology and workflow to coding standards•    Review the analysis prepared by product management team and be able to create a design based on the requirements.•    Prepare non-functional requirements of the product and create designs•    Locate, redirect solutions and/or provide fix for critical challenges•    Provide technical guidance to the software engineers and quality assurance engineers throughout the implementation and testing process.•    Train the team on specific technical topics. .Required Technical Skills: .Hands on experience on most of the technologies/tools mentioned in below list .•    Java, Spring boot•    PostgreSQL and MongoDB•    Microservices, Kubernetes, Swagger•    Jenkins, JIRA, Confluence•    Kafka, Camunda•    Linux .Precondition:•    Bachelor’s degree in Engineering (Comp. Science/IT preferred)•    10+ years of experience in Industry most in Application development•    2+ years of experience in Architect role•    Knowledge of software development processes for Java Projects and procedures to understand the team needs•    Hand on experience on distributed, high throughput enterprise software development .Preferred:•    Certifications in Java or Cloud•    Knowledge of agile methodology and frameworks like Scrum, Kanban, SAFE agile, etc•    Telecom Domain experience – Engagement Management, Party Management, Core Commerce Management and Production domains of TMForum Standards .Key accountabilities and decision ownership:•    Be able to analyse and understand as well as implement technical designs based on Java best practise•    Collaborate with offshore and onshore designers. .•    Design and Architecture of the AD projects in Java, Springboot, Microservices•    Experience in Containers – Dockers, Kubernetes•    Excellent analytical skills, able to understand complex software systems .Must have technical / professional qualifications:•    Degree or higher degree in software engineering or related technical discipline .#_VOIS #movewithus","The Software Architect is responsible for:•    Define all aspects of development from appropriate technology and workflow to coding standards•    Review the analysis prepared by product management team and be able to create a design based on the requirements.•    Prepare non-functional requirements of the product and create designs•    Locate, redirect solutions and/or provide fix for critical challenges•    Provide technical guidance to the software engineers and quality assurance engineers throughout the implementation and testing process.•    Train the team on specific technical topics.Required Technical Skills:Hands on experience on most of the technologies/tools mentioned in below list•    Java, Spring boot•    PostgreSQL and MongoDB•    Microservices, Kubernetes, Swagger•    Jenkins, JIRA, Confluence•    Kafka, Camunda•    LinuxPrecondition:•    Bachelor’s degree in Engineering (Comp. Science/IT preferred)•    10+ years of experience in Industry most in Application development•    2+ years of experience in Architect role•    Knowledge of software development processes for Java Projects and procedures to understand the team needs•    Hand on experience on distributed, high throughput enterprise software developmentPreferred:•    Certifications in Java or Cloud•    Knowledge of agile methodology and frameworks like Scrum, Kanban, SAFE agile, etc•    Telecom Domain experience – Engagement Management, Party Management, Core Commerce Management and Production domains of TMForum StandardsKey accountabilities and decision ownership:•    Be able to analyse and understand as well as implement technical designs based on Java best practise•    Collaborate with offshore and onshore designers.Core competencies, knowledge and experience:•    Design and Architecture of the AD projects in Java, Springboot, Microservices•    Experience in Containers – Dockers, Kubernetes•    Excellent analytical skills, able to understand complex software systemsMust have technical / professional qualifications:•    Degree or higher degree in software engineering or related technical discipline#_VOIS #movewithus",
Senior I OS Developer,https://wuzzuf.net/jobs/p/xaCFjOf14zLi-Senior-I-OS-Developer-Sarmady-Giza-Egypt,mobile app,Sarmady ,Mohandessin,15 daysago,Egypt,Full Time,More than 3 years,Experienced (Non-Manager),Bachelor's Degree,Confidential,"The primary focus will be on our internal applications specific to business needs. .Contribute to the entirety of our front-end software stack including UI design. .Implement new feature sets, and support current technologies.","BS/MS degree in Computer Science, Engineering or a related subjectGuru in Swift, C, Objective-C, Core Services, Core Touch frameworks, object-oriented development skills.Experience in working with remote data via REST and JSON.Experience with third-party libraries and APIs.Good knowledge of the general mobile landscape, architectures, trends and emerging technologies.Good knowledge of iOS design patterns as well as Apple’s Human Interface Guidelines.Solid understanding of the full mobile development life cycle.Solid understanding of networking protocols, TCP/IP and Sockets.Excellent knowledge and experience with UI responsiveness and app performance.Passion for designing and implementing outstanding user interfaces and customer experience.Up to speed with the latest iOS version changes, features and requirements.Experience with Swift is a plus.Experience with integrating 3rd party open source libraries.",
Robotics / Computer Science Instructor for kids,https://wuzzuf.net/jobs/p/ioM1OqZigQHZ-Robotics-Computer-Science-Instructor-for-kids-Edu-Zone-Cairo-Egypt,mobile app,Edu,Cairo,15 daysago,Egypt,Full Time,1 to 3 years,Entry Level (Junior Level / Fresh Grad),Bachelor's Degree,"5000 to 7500 EGP Per Month, 10-20% Increase after 3 months","STEAM: Science Technology Engineering Art Mathematics .Edu-Zone is looking for facilitators/trainers covering STEM Activities for the age range 4-14 years old at Downtown Katameya Mall, New Cairo or Zayed, Giza.Check FB Page (EduZone.EG) for activities samples.",Outstanding Skills of dealing with kids/studentsProfessional User for Scratch / Python / App Inventor / Web DesignBasic Knowledge about AI & ARExcellent Research  SkillsFluent in EnglishComputer Science or Relevant BackgroundWork Conditions:Locations: New CairoorEl Sheikh ZayedPart-Time:3-4 Days per week (including Weekend)50% Day Shift (10:00-6:00 pm)50% Night Shift (1:00-9:00 pm)Contract: 12 MonthsSalary: L.E. 200-400 per daySalary Increase: After 3 Months 10-20% based on performanceNo TransportationsFull Time:5-6 Days per week50% Day Shift (10:00-6:00 pm)50% Night Shift (1:00-9:00 pm)Contract: 18-24 MonthsSalary: L.E. 5000-6500Salary Increase: After 3 Months 10-20% based on performanceSocial InsuranceNo Transportations,
Senior iOS Developer,https://wuzzuf.net/jobs/p/ieMmQ2WbBgvl-Senior-iOS-Developer-Sarmady-Giza-Egypt,mobile app,Sarmady ,Mohandessin,16 daysago,Egypt,Full Time,More than 3 years,Experienced (Non-Manager),Bachelor's Degree,Confidential,"The primary focus will be on our internal applications specific to business needs. .Contribute to the entirety of our front-end software stack including UI design. .Implement new feature sets, and support current technologies.","BS/MS degree in Computer Science, Engineering or a related subjectGuru in Swift, C, Objective-C, Core Services, Core Touch frameworks, object-oriented development skills.Experience in working with remote data via REST and JSON.Experience with third-party libraries and APIs.Good knowledge of the general mobile landscape, architectures, trends and emerging technologies.Good knowledge of iOS design patterns as well as Apple’s Human Interface Guidelines.Solid understanding of the full mobile development life cycle.Solid understanding of networking protocols, TCP/IP and Sockets.Excellent knowledge and experience with UI responsiveness and app performance.Passion for designing and implementing outstanding user interfaces and customer experience.Up to speed with the latest iOS version changes, features and requirements.Experience with Swift is a plus.Experience with integrating 3rd party open source libraries.",
Mobile Engineer (react native) (remote),https://wuzzuf.net/jobs/p/FsOZlONk4xqY-Mobile-Engineer-react-native-remote-Dubai-United-Arab-Emirates,mobile app,Confidential ,Dubai,23 hoursago,United Arab Emirates,Full Time,More than 2 years,Experienced (Non-Manager),Bachelor's Degree,"Confidential, Bonuses May Be Included From Time To Time Depending On The Performance",Proven work experience as a Mobile developer .Demonstrable portfolio of released applications on the App store or the Android market .In-depth knowledge of at least one programming language like Swift and Java .Experience with third-party libraries and APIs .Familiarity with OOP design principles .Excellent analytical skills with a good problem-solving attitude .Ability to perform in a team environment .BSc degree in Computer Science or relevant field,"react native, html/css, javascipt, mobile developmentprefer has some apps on store already",
Full Stack Mobile Developer (flutter & Laravel),https://wuzzuf.net/jobs/p/jM1z0eMELgyZ-Full-Stack-Mobile-Developer-flutter-Laravel-jmskef-Qalubia-Egypt,mobile app,jmskef ,Banha,3 daysago,Egypt,Full Time,3 to 5 years,Experienced (Non-Manager),Bachelor's Degree,"10000 to 17000 EGP Per Month, The salary is comprehensive","Work with development teams and product managers to ideate software solutions .Design client-side and server-side architecture .Build the front-end of applications through appealing visual design .Develop and manage well-functioning databases and applications .Write effective APIs .Test software to ensure responsiveness and efficiency .Troubleshoot, debug and upgrade software .Create security and data protection settings .Build features and applications with a mobile responsive design .Write technical documentation .Work with data scientists and analysts to improve software .publish on mobile stores","Proven experience as a Full Stack Developer  or similar role  flutter / laravelExperience developing desktop and mobile applicationsYou have good experience with Apple and Google developers  organizations’ accounts , and you should have experience with payment gateways like Stripe.Familiarity with common stacksKnowledge of multiple front-end languages and libraries (e.g. HTML/ CSS, JavaScript, XML, jQuery)Knowledge of multiple back-end languages (e.g. C#, Java, Python) and JavaScript frameworks (e.g. Angular, React, Node.js)Familiarity with databases (e.g. MySQL, MongoDB), web servers (e.g. Apache) and UI/UX designExcellent communication and teamwork skillsGreat attention to detailOrganizational skillsAn analytical mindDegree in Computer Science, Statistics or relevant field",
Mobile Engineer (Android),https://wuzzuf.net/jobs/p/FgEmtKcr6D4f-Mobile-Engineer-Android-Rubikal-Aggregated-Alexandria-Egypt,mobile app,Rubikal ,Alexandria,7 daysago,Egypt,Full Time,Not Specified,Not specified,Not Specified,Confidential,Description .What you’ll do .Requirements .Benefits,"DescriptionRubikal LLC has partnered up with AutoScout24 to hireSenior Software Engineer (mobile)in Egypt. We are organized in agile, mission-focused,cross-functionalteams, werelease every two weeks, and utilize Feature Toggles andtrunk-based development. To keep things moving fast, we rely on all sorts of automated tests, which we write ourselves. It will be the right role if you enjoy helping others learn, solving complex technical challenges and leading software projects.At AutoScout24 and Rubikal,we welcome diversity as a strength and appreciate people from different backgrounds. AutoScout24 is, e.g. made up of more than50+ differentnationalities, all working together inclusively and respectfully.What you’ll doWorking in the technology stack we are using:Kotlin, Dagger, Rx, Coroutines, Espresso, Gradle Modulesand integrate with aGraphQLbackend and a fewREST ServicesDrive the (technical) planning of projects & features Closely work together with other teams that provide APIs to the Apps Evaluate and introduce new technologies Mentor other developers in the team Close collaboration with Product, UX and Data Join us on our journey by finding the right mix betweeneffort,qualityanduser valueRequirementsExperience as a Software Engineer for at least4 yearsYou are anexpertregardingKotlinand theAndroid SDKKnow how to build features for alarge-scaleApp Experience withContinuous IntegrationandContinuous DeliveryPipelines We are an international company -Englishismandatory, and German is a nice to haveBonus: experience working withcloud computing platforms, ideallyAWSBonus: you have experience working withGraphQLBenefitsAwesome workingcultureCompetitive salariesand compensationFlexiblework schedules Reallygreat coworkersMedical /SocialinsuranceCommutingallowance, from/to office We’ve all got our own brand-newMacBook* Training andgrowth",
Mobile Engineer (kotlin & swift) (remote),https://wuzzuf.net/jobs/p/hqjlcdVNkxzh-Mobile-Engineer-kotlin-swift-remote-Dubai-United-Arab-Emirates,mobile app,Confidential ,Dubai,6 daysago,United Arab Emirates,Full Time,More than 2 years,Experienced (Non-Manager),Bachelor's Degree,"Confidential, Bonuses May Be Included From Time To Time Depending On The Performance","Proven work experience as a Mobile developer .Demonstrable portfolio of released applications on the App store or the Android market .In-depth knowledge of kotlin, xml, swift and swift ui /storyboard .Experience with third-party libraries and APIs .Familiarity with OOP design principles .Excellent analytical skills with a good problem-solving attitude .Ability to perform in a team environment .BSc degree in Computer Science or relevant field","kotlin, xml, swift and swift ui /storyboard",
Senior React Native Developer,https://wuzzuf.net/jobs/p/UPMs2f4j2TI1-Senior-React-Native-Developer-EGITRADE-Cairo-Egypt,mobile app,EGITRADE ,Cairo,1 monthago,Egypt,Full Time,More than 5 years,Experienced (Non-Manager),Not Specified,Confidential,"Job Posting: Senior React Native Developer .Company:KlikLocation:Cairo, EgyptJob Type:Full-Time .About Us:At Klik, we're not just building a social media platform; we're shaping the future of online connections. Our mission is to create an innovative and user-centric social media experience that brings people closer together. We are seeking a highly skilled Senior React Native Developer to join our passionate and dynamic team. If you're excited about social media and have a strong background in React Native development, we want you to be a part of our journey. .Job Description:As a Senior React Native Developer at Klik, you'll be at the forefront of building a revolutionary social media platform. You will build and lead the necessary team to create a mobile app that delivers a seamless, engaging, and personalized user experience. Your expertise in React Native development will be crucial as you contribute to the evolution of our social media ecosystem.","Responsibilities:Collaborate with product managers, designers, and other developers to define and implement new social media features.Write clean, maintainable, and efficient code using React Native.Develop and maintain our mobile app for both iOS and Android platforms.Optimize app performance for a smooth and interactive user experience.Troubleshoot and debug issues as they arise, ensuring a bug-free experience for our users.Stay up-to-date with the latest trends and technologies in mobile app development.Mentor and provide guidance to junior developers.Qualifications:Bachelor's degree in Computer Science, Software Engineering, or a related field (or equivalent work experience).Proven experience as a React Native developer, with a strong portfolio of mobile applications.Deep knowledge of JavaScript and React Native framework.Familiarity with mobile app architecture patterns (MVC, MVVM, Redux).Proficiency in RESTful/GraphQL API integration.Experience with version control systems, such as Git.Strong problem-solving skills and attention to detail.Excellent communication and teamwork skills.Ability to thrive in a fast-paced, startup environment.Knowledge of native iOS and Android development is a plus.Experience releasing apps on Google Play Store and App Store is a plus.What We Offer:Opportunity to make a significant impact on the future of social media.Collaborative and inclusive work environment.Flexible work arrangements.Klik is an equal opportunity employer. We welcome and encourage diversity in the workplace. We thank all applicants for their interest, but only those selected for an interview will be contacted.",
Senior OutSystems Developer,https://wuzzuf.net/jobs/p/rGCYVQR9Ysh4-Senior-OutSystems-Developer-Sceel-io-Cairo-Egypt,mobile app,Sceel.io ,Maadi,1 monthago,Egypt,Full Time,3 to 5 years,Experienced (Non-Manager),Not Specified,Confidential,Participate actively as a member of the development team. .Collaborate on projects of moderate complexity. .Provide informed analysis and limited project direction input as a valued team member. .Conduct basic analysis of functional and business requirements. .Complete code stubs prepared by more experienced developers. .Engage in thorough code reviews. .Prepare and execute unit tests. .Apply advanced technical knowledge to maintain one or more technology areas. .Contribute to solution design. .Utilize Giza Systems and third-party technologies to develop moderately complex infrastructure and software solutions. .Implement end-user or enterprise infrastructure or services prepared by senior technologists. .Evaluate unique circumstances and provide recommendations.,3-5 years of verifiable professional experience as an OutSystems developer.Mastery of OutSystems web/mobile development.In-depth understanding of the OutSystems architecture canvas.Solid experience in relational database design and development.Comprehensive knowledge of OOP principles and best practices.Thorough understanding of design patterns and SOLID principles.Familiarity with microservices patterns and best practices (a plus).Prior experience with .NET/.NET Core development (a plus).,
